id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-06-20T01:42:46;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-06-19T20:43:06;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-06-19T22:52:08;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-06-19T15:36:33;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-06-20T06:59:39;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-06-19T18:21:45;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-06-19T21:18:17;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-06-19T11:20:56;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-06-19T14:10:32;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-06-19T14:52:57;601;74069
